activity_identifier,contact_type,organisation,department,person_name,job_title,telephone,email,website,mailing_address
XM-DAC-928-AR-2016-17-01.001.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-01.001.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-01.002.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-01.003.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-01.004.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-01.005.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-02.001.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-02.002.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-03.001.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-03.003.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-03.004.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-03.005.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-04.001.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-04.002.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-04.003.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-04.004.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-04.004.AM01.ARG03,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-05.005.AM01.ARG04,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-06.001.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-06.001.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-06.004.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-06.004.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-06.004.AM01.ARG03,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-06.004.AM01.ARG04,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2016-17-06.005.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-01.001.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-01.001.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-01.002.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-01.002.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-01.003.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-01.003.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-01.004.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-01.005.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-01.006.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-02.001.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-02.001.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-02.002.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-02.002.AM01.ARG03,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-02.003.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-02.004.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-03.001.AM01.ARG04,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-03.001.AM01.ARG05,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-03.005.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-03.005.AM01.ARG03,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-03.006.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-03.006.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-04.001.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-04.002.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-04.003.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-04.004.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-04.004.AM01.ARG03,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-06.001.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-06.004.AM01.ARG03,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-06.004.AM01.ARG04,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-06.005.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-06.005.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2018-19-12.002.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-01.001.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-01.001.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-01.001.AM01.ARG03,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-01.001.AM01.ARG05,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-01.003.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-01.003.AM01.ARG03,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-01.003.AM01.ARG05,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-02.001.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-02.002.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-02.003.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-02.003.AM01.ARG03,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-03.001.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-03.001.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-03.002.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-03.002.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-03.003.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-03.003.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-04.001.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-04.001.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-04.001.AM01.ARG03,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-04.002.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-04.002.AM01.ARG06,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-04.003.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-04.003.AM01.ARG03,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-04.003.AM01.ARG04,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2020-21-13.002.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2022-23-01.001.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2022-23-01.001.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2022-23-01.001.AM01.ARG03,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2022-23-01.001.AM01.ARG05,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2022-23-01.002.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2022-23-01.003.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2022-23-01.003.AM01.ARG05,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2022-23-02.001.AM01.ARG01,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2022-23-02.001.AM01.ARG02,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
XM-DAC-928-AR-2022-23-02.002.AM01.ARG03,,Americas Regional Office,,,,+1 202 974 3000,,http://www.paho.org/,"525 Twenty-third Street, N.W., Washington, D.C. 20037, United States of America"
